Título,Año,Descripción,Autor,Tipo de archivo,Link sinia,Link externo,Link,Código,Perfil,Clasificación,documentos complementarios,ampyd,Ubicación en la estructura
Cadena de riesgos Centro,2022,,Ministerio de Ambiente y Desarrollo Sostenible,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/444/Centro%20Cadenas%20de%20Riesgos.pdf,,"Gestores públicos locales, Gestores públicos nacionales, Gestores públicos provinciales, Sector privado, ONGs",Solo en biblioteca general,Adaptación,Adaptación,Gestión climática -sobre adaptación
Cadena de riesgos Cuyo,2022,,Ministerio de Ambiente y Desarrollo Sostenible,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/447/Cuyo%20cadenas%20de%20riesgos.pdf,,"Gestores públicos locales, Gestores públicos nacionales, Gestores públicos provinciales, Sector privado, ONGs",Solo en biblioteca general,Adaptación,Adaptación,Gestión climática -sobre adaptación
Manual Diálogos Interculturales,2022,,Ministerio de Ambiente y Desarrollo Sostenible,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/449/Manual%20Di%C3%A1logos%20Interculturales.pdf,,"Pueblos indigenas, Gestores públicos locales, Gestores públicos provinciales, Gestores públicos nacionales",Comunidad Educativa,Diálogos Interculturales,Adaptación,¿Que esta haciendo el estado nacional - Marco Nacional -Sectores en la accion climática - Interculturalidad
"Informe Talleres Regionales de Adaptación n.° 1
",2021,,Ministerio de Ambiente y Desarrollo Sostenible,,Link,,,,Incluir sólo en la estructuctura correspondiente,Solo en biblioteca general,-,Adaptación,
Capacitación que es el cambio climático,2021,,Ministerio de Ambiente y Desarrollo Sostenible,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/451/Proceso%20Sociedad%20Civil%20-%20Sensibilizaci%C3%B3n.pptx.pdf,,Público general,Capacitaciones,-,"Adaptación, Mitigación, Pérdidas y daños",
Recomendaciones para el análisis y mapeo de actores clave,2021,,Ministerio de Ambiente y Desarrollo Sostenible,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/467/Recomendaciones%20para%20el%20an%C3%A1lisis%20y%20mapeo%20de%20actores%20claves.pdf,,Incluir sólo en la estructuctura correspondiente,Solo en biblioteca general,-,"Adaptación, Mitigación, Pérdidas y daños",
Informe Taller Regional de Adaptación N°3,2021,,Ministerio de Ambiente y Desarrollo Sostenible,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/468/2021%2010%20Informe%20Taller%20Regional%20de%20Adaptaci%C3%B3n%20N%C2%B03.pdf,,Incluir sólo en la estructuctura correspondiente,Solo en biblioteca general,-,Adaptación,
Informe Taller Regional de Adaptación N°4,2021,,Ministerio de Ambiente y Desarrollo Sostenible,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/470/202112%20Informe%20Cuarto%20Taller%20Regional%20de%20Adaptaci%C3%B3n.pdf,,Incluir sólo en la estructuctura correspondiente,Solo en biblioteca general,-,Adaptación,
"Informe final: Espacios de encuentro y capacitación 2021  - Regón centro
",2021,,Ministerio de Ambiente y Desarrollo Sostenible,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/473/20210902%20Informe%20Mesa%20Regional%20de%20Adaptaci%C3%B3n%20-%20Centro%20(sociedad%20civil).pdf,,Incluir sólo en la estructuctura correspondiente,Solo en biblioteca general,-,Adaptación,
"Informe final: Espacios de encuentro y capacitación 2021  - Región cuyo
",2021,,Ministerio de Ambiente y Desarrollo Sostenible,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/474/20210801%20Informe%20Taller%20Regional%20de%20Adaptaci%C3%B3n%20Cuyo%20Sociedad%20civil.pdf,,Incluir sólo en la estructuctura correspondiente,Solo en biblioteca general,-,Adaptación,
"Informe final: Espacios de encuentro y capacitación 2021 -Región NOA
",2021,,Ministerio de Ambiente y Desarrollo Sostenible,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/475/20210830%20Informe%20Taller%20Regional%20de%20Adaptaci%C3%B3n%20NOA%20%20Sociedad%20civil.pdf,,Incluir sólo en la estructuctura correspondiente,Solo en biblioteca general,-,Adaptación,
